d,q,gamma,ordering_class,concurrence,T_xx,T_zz,Q,fixed_chsh,s_max,entangled,shared_p,p
0.001,0.001,0.001,1,9.900276293591046e-01,9.923564102471044e-01,9.953424382240003e-01,2.328780888000000e-03,2.811030669421220e+00,2.811033841338960e+00,True,True,0.001
0.001,0.001,0.001,2,9.900276280266598e-01,9.923564102471042e-01,9.953424355591112e-01,2.328782220444445e-03,2.811030665652497e+00,2.811033837564580e+00,True,True,0.001
0.002,0.002,0.002,1,9.801103684122177e-01,9.847588377313286e-01,9.907030613617782e-01,4.648469319111111e-03,2.793725009648782e+00,2.793737657176533e+00,True,True,0.002
0.002,0.002,0.002,2,9.801103577597730e-01,9.847588377313282e-01,9.907030400568896e-01,4.648479971555556e-03,2.793724979519119e+00,2.793737626956347e+00,True,True,0.002
0.003,0.003,0.003,1,9.702479940862720e-01,9.772070780142720e-01,9.860818321440000e-01,6.959083927999999e-03,2.776509803602521e+00,2.776538170460229e+00,True,True,0.003
0.003,0.003,0.003,2,9.702479581582718e-01,9.772070780142719e-01,9.860817602879999e-01,6.959119855999997e-03,2.776509701982791e+00,2.776538068382187e+00,True,True,0.003
0.004,0.004,0.004,1,9.604402839251633e-01,9.697009272531631e-01,9.814787133440004e-01,9.260643328000001e-03,2.759384710358770e+00,2.759434980616894e+00,True,True,0.004
0.004,0.004,0.004,2,9.604401988193851e-01,9.697009272531628e-01,9.814785431324445e-01,9.260728433777782e-03,2.759384469643278e+00,2.759434738452808e+00,True,True,0.004
0.005,0.005,0.005,1,9.506870160888879e-01,9.622401821999994e-01,9.768936677777771e-01,1.155316611111110e-02,2.742349389895326e+00,2.742427688297072e+00,True,True,0.005
0.005,0.005,0.005,2,9.506868499777765e-01,9.622401821999992e-01,9.768933355555546e-01,1.155333222222221e-02,2.742348920062152e+00,2.742427214927058e+00,True,True,0.005
0.006,0.006,0.006,1,9.409879693527028e-01,9.548246402007031e-01,9.723266583039993e-01,1.383667084799999e-02,2.725403503090271e+00,2.725515895373222e+00,True,True,0.006
0.006,0.006,0.006,2,9.409876825047027e-01,9.548246402007032e-01,9.723260846079989e-01,1.383695769599999e-02,2.725402691761607e+00,2.725515076710106e+00,True,True,0.006
0.007,0.007,0.007,1,9.313429231062609e-01,9.474540991942612e-01,9.677776478239996e-01,1.611117608799999e-02,2.708546711720741e+00,2.708699204937870e+00,True,True,0.007
0.007,0.007,0.007,2,9.313424679071500e-01,9.474540991942612e-01,9.677767374257777e-01,1.611163128711111e-02,2.708545424223228e+00,2.708697903851584e+00,True,True,0.007
0.008,0.008,0.008,1,9.217516573527604e-01,9.401283577118718e-01,9.632465992817772e-01,1.837670035911110e-02,2.691778678461724e+00,2.691977221301793e+00,True,True,0.008
0.008,0.008,0.008,2,9.217509783269826e-01,9.401283577118716e-01,9.632452412302219e-01,1.837737938488889e-02,2.691776757886797e+00,2.691975277543751e+00,True,True,0.008
0.009,0.009,0.009,1,9.122139527080948e-01,9.328472148760952e-01,9.587334756639991e-01,2.063326216799998e-02,2.675099066884866e+00,2.675349549992195e+00,True,True,0.009
0.009,0.009,0.009,2,9.122129865400949e-01,9.328472148760953e-01,9.587315433279990e-01,2.063422833599999e-02,2.675096334149088e+00,2.675346780119673e+00,True,True,0.009
0.01,0.01,0.01,1,9.027295903999993e-01,9.256104703999996e-01,9.542382399999996e-01,2.288088000000000e-02,2.658507541457251e+00,2.658815797750875e+00,True,True,0.01
0.01,0.01,0.01,2,9.027282659555549e-01,9.256104703999996e-01,9.542355911111107e-01,2.288220444444445e-02,2.658503795362659e+00,2.658811995051384e+00,True,True,0.01
0.011,0.011,0.011,1,8.932983522671925e-01,9.184179245863038e-01,9.497608553617773e-01,2.511957231911110e-02,2.642003767540198e+00,2.642375572532374e+00,True,True,0.011
0.011,0.011,0.011,2,8.932965906147479e-01,9.184179245863038e-01,9.497573320568883e-01,2.512133397155555e-02,2.641998784834640e+00,2.642370506948056e+00,True,True,0.011
0.012,0.012,0.012,1,8.839200207585276e-01,9.112693783265278e-01,9.453012848639996e-01,2.734935756799999e-02,2.625587411388055e+00,2.626028483502146e+00,True,True,0.012
0.012,0.012,0.012,2,8.839177351905274e-01,9.112693783265277e-01,9.452967137279995e-01,2.735164313599998e-02,2.625580946825528e+00,2.626021901554191e+00,True,True,0.012
0.013,0.013,0.013,1,8.745943789321384e-01,9.041646331001384e-01,9.408594916640000e-01,2.957025416799999e-02,2.609258140146994e+00,2.609774141034698e+00,True,True,0.013
0.013,0.013,0.013,2,8.745914749863607e-01,9.041646331001385e-01,9.408536837724444e-01,2.957315811377775e-02,2.609249926547987e+00,2.609765765747790e+00,True,True,0.013
0.014,0.014,0.014,1,8.653212104545844e-01,8.971034909736957e-01,9.364354389617776e-01,3.178228051911110e-02,2.593015621853798e+00,2.593612156711739e+00,True,True,0.014
0.014,0.014,0.014,2,8.653175859354735e-01,8.971034909736958e-01,9.364281899235554e-01,3.178590503822224e-02,2.593005370165630e+00,2.593601687538546e+00,True,True,0.014
0.015,0.015,0.015,1,8.561002996000007e-01,8.900857546000004e-01,9.320290900000004e-01,3.398545500000000e-02,2.576859525434665e+00,2.577542143320323e+00,True,True,0.015
0.015,0.015,0.015,2,8.560958446000007e-01,8.900857546000005e-01,9.320201800000003e-01,3.398991000000001e-02,2.576846924791824e+00,2.577529256066038e+00,True,True,0.015
0.016,0.016,0.016,1,8.469314312492370e-01,8.831112272172370e-01,9.276404080639999e-01,3.617979596800000e-02,2.560789520703985e+00,2.561563714850973e+00,True,True,0.016
0.016,0.016,0.016,2,8.469260281701256e-01,8.831112272172369e-01,9.276296019057775e-01,3.618519904711109e-02,2.560774238488470e+00,2.561548061597912e+00,True,True,0.016
0.017,0.017,0.017,1,8.378143908890163e-01,8.761797126481276e-01,9.232693564817775e-01,3.836532175911111e-02,2.544805278363153e+00,2.545676486495824e+00,True,True,0.017
0.017,0.017,0.017,2,8.378079144632385e-01,8.761797126481278e-01,9.232564036302215e-01,3.837179818488890e-02,2.544786960264811e+00,2.545657695528106e+00,True,True,0.017
0.018,0.018,0.018,1,8.287489646110724e-01,8.692910152990722e-01,9.189158986240005e-01,4.054205068800002e-02,2.528906469999347e+00,2.529880074646738e+00,True,True,0.018
0.018,0.018,0.018,2,8.287412819230724e-01,8.692910152990722e-01,9.189005332480005e-01,4.054973337600001e-02,2.528884740076217e+00,2.529857750375029e+00,True,True,0.018
0.019,0.019,0.019,1,8.197349391112951e-01,8.624449401592954e-01,9.145799979039995e-01,4.271000104799999e-02,2.513092768084320e+00,2.514174096893412e+00,True,True,0.019
0.019,0.019,0.019,2,8.197259096188506e-01,8.624449401592955e-01,9.145619389191102e-01,4.271903054044441e-02,2.513067228822968e+00,2.514147819779778e+00,True,True,0.019
0.02,0.02,0.02,1,8.107721016888891e-01,8.556412928000002e-01,9.102616177777777e-01,4.486919111111112e-02,2.497363845973216e+00,2.498558172021514e+00,True,True,0.02
0.02,0.02,0.02,2,8.107615772444446e-01,8.556412928000001e-01,9.102405688888890e-01,4.487971555555557e-02,2.497334078349077e+00,2.498527498504368e+00,True,True,0.02
